Area,Focus Area,Outcome Code 1,Outcome 1 Description,Outcome Code 2,Outcome 2 Description,Content groups,Content points,Stage
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Instantly name the number of objects within small collections,instantly recognise (subitise) the number of items in small groups of up to four items without counting,Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Instantly name the number of objects within small collections,identify the number of items in different arrangements,Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Use the counting sequence of ones flexibly,"count forwards to at least 30 and state the number after or before a given number, without needing to count from one",Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Use the counting sequence of ones flexibly,identify and distinguish the teen numbers from multiples of ten with the same initial sounds,Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Use the counting sequence of ones flexibly,count backwards from a given number 20 or less,Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Use the counting sequence of ones flexibly,identify the number before as 'one less' and the number after as 'one more than a given number,Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Recognise number patterns,recognise dice and domino dot patterns,Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Recognise number patterns,recognise different finger patterns for the same number,Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Connect counting and numerals to quantities,"count with one-to-one correspondence, recognising that the last number name represents the total number in the collection",Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Connect counting and numerals to quantities,"count out a specified number of objects (from 5 to 20) from a larger collection, keeping track of the count",Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Connect counting and numerals to quantities,make correspondences between collections (Reasons about quantity),Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Connect counting and numerals to quantities,"read numerals to at least 20, including zero",Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Connect counting and numerals to quantities,"represent numbers as quantities to at least 20 using objects (such as fingers), number words and numerals",Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Connect counting and numerals to quantities,compare and order numbers to 20,Early Stage 1
Number & Algebra,Counting and Numeral Recognition,MAE-RWN-01, demonstrates an understanding of how whole numbers indicate quantity,MAE-RWN-02, reads numerals and represents whole numbers to at least 20,Connect counting and numerals to quantities,use the term is the same as to express equality of groups (Reasons about quantity),Early Stage 1
Number & Algebra,Combining and separating properties,MAE-CSQ-01," reasons about number relations to model addition and subtraction by combining and separating, and comparing collections",MAE-CSQ-02," represents the relations between the parts that form the whole, with numbers up to 10",Model additive relations and compare quantities,identify situations in which addition and subtraction may be applied,Early Stage 1
Number & Algebra,"Combining and separating properties
",MAE-CSQ-01," reasons about number relations to model addition and subtraction by combining and separating, and comparing collections",MAE-CSQ-02," represents the relations between the parts that form the whole, with numbers up to 10",Model additive relations and compare quantities,"combine two or more groups of objects to model addition, identifying the relationship between the parts and the whole",Early Stage 1
Number & Algebra,"Combining and separating properties
",MAE-CSQ-01," reasons about number relations to model addition and subtraction by combining and separating, and comparing collections",MAE-CSQ-02," represents the relations between the parts that form the whole, with numbers up to 10",Model additive relations and compare quantities,separate and take away part of a group of objects to model subtraction,Early Stage 1
Number & Algebra,"Combining and separating properties
",MAE-CSQ-01," reasons about number relations to model addition and subtraction by combining and separating, and comparing collections",MAE-CSQ-02," represents the relations between the parts that form the whole, with numbers up to 10",Model additive relations and compare quantities,"use concrete materials or fingers to model and solve addition and subtraction questions, counting forwards or backwards by ones as necessary",Early Stage 1
Number & Algebra,"Combining and separating properties
",MAE-CSQ-01," reasons about number relations to model addition and subtraction by combining and separating, and comparing collections",MAE-CSQ-02," represents the relations between the parts that form the whole, with numbers up to 10",Model additive relations and compare quantities,compare two groups of objects to determine how many more (Reasons about quantity),Early Stage 1
Number & Algebra,"Combining and separating properties
",MAE-CSQ-01," reasons about number relations to model addition and subtraction by combining and separating, and comparing collections",MAE-CSQ-02," represents the relations between the parts that form the whole, with numbers up to 10",Identify partwhole relationships in numbers up to 10,"use visual representations of numbers to assist with combining and separating quantities, identifying the relationship between the quantities",Early Stage 1
Number & Algebra,"Combining and separating properties
",MAE-CSQ-01," reasons about number relations to model addition and subtraction by combining and separating, and comparing collections",MAE-CSQ-02," represents the relations between the parts that form the whole, with numbers up to 10",Identify partwhole relationships in numbers up to 10,"describe the action of combining, separating and comparing",Early Stage 1
Number & Algebra,"Combining and separating properties
",MAE-CSQ-01," reasons about number relations to model addition and subtraction by combining and separating, and comparing collections",MAE-CSQ-02," represents the relations between the parts that form the whole, with numbers up to 10",Identify partwhole relationships in numbers up to 10,use five as a reference in forming numbers from six to ten,Early Stage 1
Number & Algebra,"Combining and separating properties
",MAE-CSQ-01," reasons about number relations to model addition and subtraction by combining and separating, and comparing collections",MAE-CSQ-02," represents the relations between the parts that form the whole, with numbers up to 10",Identify partwhole relationships in numbers up to 10,"create, model and recognise combinations for numbers up to ten (Reasons about relations)",Early Stage 1
Number & Algebra,"Combining and separating properties
",MAE-CSQ-01," reasons about number relations to model addition and subtraction by combining and separating, and comparing collections",MAE-CSQ-02," represents the relations between the parts that form the whole, with numbers up to 10",Identify partwhole relationships in numbers up to 10,count by ones to find the total or difference,Early Stage 1
Number & Algebra,"Combining and separating properties
",MAE-CSQ-01," reasons about number relations to model addition and subtraction by combining and separating, and comparing collections",MAE-CSQ-02," represents the relations between the parts that form the whole, with numbers up to 10",Identify partwhole relationships in numbers up to 10,"use drawings, words and numerals to record addition and subtraction, and explain their thinking (Reasons about relations)",Early Stage 1
Number & Algebra,"Forming groups
",MAE-FG-01," recognises, describes and continues repeating patterns",MAE-FG-02, forms equal groups by sharing and counting collections of objects,"Copy, continue and create patterns",copy and continue repeating patterns using sounds and/or actions,Early Stage 1
Number & Algebra,"Forming groups
",MAE-FG-01," recognises, describes and continues repeating patterns",MAE-FG-02, forms equal groups by sharing and counting collections of objects,"Copy, continue and create patterns","copy, continue and create repeating patterns using shapes, objects, images or pictures (Reasons about patterns)",Early Stage 1
Number & Algebra,"Forming groups
",MAE-FG-01," recognises, describes and continues repeating patterns",MAE-FG-02, forms equal groups by sharing and counting collections of objects,Investigate and form equal groups by sharing,distribute a group of familiar objects into smaller groups and recognise whether the number in each group is equal or not,Early Stage 1
Number & Algebra,"Forming groups
",MAE-FG-01," recognises, describes and continues repeating patterns",MAE-FG-02, forms equal groups by sharing and counting collections of objects,Investigate and form equal groups by sharing,group and share concrete materials by distributing objects one by one or using another method,Early Stage 1
Number & Algebra,"Forming groups
",MAE-FG-01," recognises, describes and continues repeating patterns",MAE-FG-02, forms equal groups by sharing and counting collections of objects,Record grouping and sharing,label the number of objects in a group,Early Stage 1
Number & Algebra,"Forming groups
",MAE-FG-01," recognises, describes and continues repeating patterns",MAE-FG-02, forms equal groups by sharing and counting collections of objects,Record grouping and sharing,"record grouping and sharing using drawings, words and numerals, and explain their thinking (Reasons about relations)",Early Stage 1
Number & Algebra,"Representing whole numbers A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-RWN-01," applies an understanding of place value and the role of zero to read, write and order two- and three-digit numbers",Use counting sequences of ones with two-digit numbers and beyond," reasons about representations of whole numbers to 1000, partitioning numbers to use and record quantity values",Stage 1
